Gene stable ID,Mouse gene stable ID,Mouse homology type,Mouse Gene-order conservation score,EuclidDist,PearDist,TEC,Duplicated Species
ENSG00000065135,ENSMUSG00000000001,ortholog_one2one,100.0,197.74644543310563,0.15144204172792275,0.0,NA
ENSG00000093009,ENSMUSG00000000028,ortholog_one2one,100.0,24.53361619830282,1.0016377830624563,0.1875,NA
ENSG00000102098,ENSMUSG00000000037,ortholog_one2one,100.0,2.08463941533528,0.16178589072974225,0.0625,NA
ENSG00000091583,ENSMUSG00000000049,ortholog_one2one,100.0,1776.5464009686261,2.964536596872236e-06,0.25,NA
ENSG00000141562,ENSMUSG00000000056,ortholog_one2one,100.0,70.95029573796678,0.6615620041296382,0.0,NA
ENSG00000105971,ENSMUSG00000000058,ortholog_one2one,100.0,92.76178531333092,0.5529899979781329,0.0,NA
ENSG00000067082,ENSMUSG00000000078,ortholog_one2one,100.0,91.84086200593876,0.26182967500586307,0.0,NA
ENSG00000010803,ENSMUSG00000000085,ortholog_one2one,100.0,80.76383974994928,0.6686244069553298,0.0,NA
ENSG00000178741,ENSMUSG00000000088,ortholog_one2one,100.0,1659.240615197428,0.08954249863817054,0.0,NA
ENSG00000121068,ENSMUSG00000000093,ortholog_one2one,100.0,47.7869835965428,0.17109718739997515,0.125,NA
ENSG00000121075,ENSMUSG00000000094,ortholog_one2one,100.0,4.558539647535655,0.21962700230348475,0.125,NA
ENSG00000083828,ENSMUSG00000000103,ortholog_many2many,0.0,11.824353272012756,0.8504800569995032,0.5,NA
ENSG00000105136,ENSMUSG00000000103,ortholog_many2many,0.0,13.779179145894751,1.1172694569890451,0.5,NA
ENSG00000121406,ENSMUSG00000000103,ortholog_many2many,0.0,5.553999676610184,0.9626770994537127,0.375,NA
ENSG00000131845,ENSMUSG00000000103,ortholog_many2many,0.0,15.921238618283954,0.778202565991672,0.5,NA
ENSG00000152439,ENSMUSG00000000103,ortholog_many2many,0.0,3.705089011258278,0.8568763343532567,0.3125,NA
