Human ID,Gene stable ID,Mouse gene stable ID,Mouse homology type,Mouse Gene-order conservation score,EuclidDist,PearDist,TEC
ENSG00000000003,ENSG00000000003,ENSMUSG00000067377,ortholog_one2one,100.0,39.108790235188714,1.1302722684545732,0.1875
ENSG00000000005,ENSG00000000005,ENSMUSG00000031250,ortholog_one2one,100.0,1.2498761980720834,1.1411180247068784,0.0
ENSG00000000419,ENSG00000000419,ENSMUSG00000078919,ortholog_one2one,100.0,68.4104896789254,1.2111576863770026,0.0
ENSG00000000457,ENSG00000000457,ENSMUSG00000026584,ortholog_one2one,100.0,8.682554940110716,0.8148699596492635,0.125
ENSG00000000460,ENSG00000000460,ENSMUSG00000041406,ortholog_one2one,0.0,3.5335636560833126,0.9598418595242771,0.3125
ENSG00000000938,ENSG00000000938,ENSMUSG00000028874,ortholog_one2one,100.0,19.471199589284964,0.9488993542662632,0.5
,ENSG00000000971,,,,,,
ENSG00000001036,ENSG00000001036,ENSMUSG00000019810,ortholog_one2one,100.0,57.55430714468889,0.6829523938113259,0.0625
ENSG00000001084,ENSG00000001084,ENSMUSG00000032350,ortholog_one2one,100.0,32.07918924189136,0.8556706320583496,0.0625
ENSG00000001167,ENSG00000001167,ENSMUSG00000023994,ortholog_one2one,100.0,18.933254636399084,0.9873004838383916,0.125
ENSG00000001460,ENSG00000001460,ENSMUSG00000028801,ortholog_one2one,100.0,6.354427385806192,0.10287262117155205,0.375
ENSG00000001461,ENSG00000001461,ENSMUSG00000028803,ortholog_one2one,100.0,22.518332713732438,0.14946997930860384,0.125
ENSG00000001497,ENSG00000001497,ENSMUSG00000057421,ortholog_one2one,100.0,36.46576924096749,0.40655208700624057,0.0625
ENSG00000001561,ENSG00000001561,ENSMUSG00000023961,ortholog_one2one,100.0,26.862620621668793,0.16646769524993665,0.125
ENSG00000001617,ENSG00000001617,ENSMUSG00000034684,ortholog_one2one,100.0,59.87446734242609,0.1234838953823526,0.125
ENSG00000001626,ENSG00000001626,ENSMUSG00000041301,ortholog_one2one,100.0,45.958503455879395,1.0173632809116673,0.0625
ENSG00000001629,ENSG00000001629,ENSMUSG00000040351,ortholog_one2one,100.0,27.500111730428994,0.5770239575647109,0.125
ENSG00000001630,ENSG00000001630,ENSMUSG00000001467,ortholog_one2one,50.0,73.22502216075304,0.7455612482447604,0.0625
ENSG00000001631,ENSG00000001631,ENSMUSG00000000600,ortholog_one2one,75.0,12.290176528924643,0.9521385011568645,0.125
ENSG00000002016,ENSG00000002016,ENSMUSG00000030166,ortholog_one2one,100.0,20.286265551375173,0.5521891517218875,0.1875
