Mouse Gene,Human Parent,Human Daughter,GOC Parent,GOC Daughter,EuclidDist Parent,EuclidDist Daughter,EuclidDistNorm Parent,EuclidDistNorm Daughter,EuclidDistLog Parent,EuclidDistLog Daughter,PearDist Parent,PearDist Daughter,TEC Parent,TEC Daughter
ENSMUSG00000000308,ENSG00000237289,ENSG00000223572,100.0,75.0,2561.8444088237393,2569.93019790546,1.1823139772529176,0.869674524685838,11.026921216736788,12.033287569446912,0.921149071352422,0.5544415971486311,0.1875,0.1875
ENSMUSG00000000804,ENSG00000170832,ENSG00000129204,50.0,0.0,94.66030664321552,115.48425993632874,0.4956992288418426,0.7699287899321747,4.109196794800181,10.174986731192192,0.3356623471097302,0.8692009646348084,0.0,0.375
ENSMUSG00000000982,ENSG00000276085,ENSG00000275385,25.0,0.0,2.83279244981007,10.37658758957253,0.7707628860929512,1.0490008579252295,1.930052216651209,4.076297535948645,1.0471967123524952,1.1479960855683868,1.0,0.3333333333333333
ENSMUSG00000002546,ENSG00000167110,ENSG00000215252,75.0,0.0,60.192802039193495,121.24733583234696,0.4367436577893346,0.9392284110744377,3.6624040096849315,5.6964011913429085,0.3583206365552286,1.4114487508983125,0.0,0.0
ENSMUSG00000003531,ENSG00000128185,ENSG00000183628,50.0,25.0,83.45281081359785,212.162763386484,0.3297735835170005,0.6315493222466728,1.5396773005244393,11.598851098558502,0.38574879659367955,0.7255156351339915,0.0,0.0
ENSMUSG00000004952,ENSG00000170667,ENSG00000105808,75.0,25.0,53.87634647172439,54.68644177689897,0.5168726314729097,0.5240927982898551,6.558534418142931,6.969370346192663,0.26779583800288853,0.2767352903872029,0.08333333333333333,0.16666666666666666
ENSMUSG00000014177,ENSG00000175106,ENSG00000171928,100.0,0.0,153.23612914054183,132.43581044959,0.419002364271718,0.490966837215583,11.477241487846555,6.241976123909742,0.7133384359831447,0.8719876434635613,0.125,0.0
ENSMUSG00000018930,ENSG00000275302,ENSG00000276070,50.0,0.0,15.866462892978044,2.4104946859941614,0.8582533325628443,0.8622147593635948,5.169542270287766,1.7687723836951377,1.164840481386339,1.2065087078666203,0.4375,1.0
ENSMUSG00000020415,ENSG00000164611,ENSG00000250254,100.0,0.0,201.14008161344546,213.5655959454872,0.8173590880789912,0.5940645153530717,10.357072681403517,13.980420634378973,0.8254324268298263,0.634455185477679,0.0625,0.4375
ENSMUSG00000020691,ENSG00000087995,ENSG00000165055,50.0,0.0,36.64805110021803,32.884744447533016,0.3496156514710075,0.3381723371495319,4.840102313623144,3.9709828422030062,0.4541747226383205,0.4150722333050123,0.0,0.0
ENSMUSG00000021645,ENSG00000205571,ENSG00000172062,50.0,25.0,81.10617979073703,78.86972624439936,0.4415853949299572,0.45930381321786706,8.360290795947,7.47386081457818,0.704124385977407,0.7809608819458397,0.0,0.0
ENSMUSG00000021707,ENSG00000228716,ENSG00000178700,100.0,0.0,28.712008528873543,32.05515561075953,0.8078608729672586,0.9578416381551358,3.541800719275751,4.6781452412363205,0.7710279099702231,1.3306905840537133,0.0,0.0625
ENSMUSG00000021794,ENSG00000148672,ENSG00000182890,75.0,0.0,638.7848080374296,948.0704891990902,0.32025119872154845,0.2289059746421408,3.593655738933193,17.39217865208979,0.10564238217868793,0.01923852490978617,0.0,0.375
ENSMUSG00000021950,ENSG00000264230,ENSG00000265190,50.0,0.0,115.3803616040339,127.6794170848502,0.15714048213538723,0.1554396207760805,5.192068702817287,5.476200939712031,0.012720600747123334,0.012997920898006776,0.375,0.375
ENSMUSG00000022544,ENSG00000118894,ENSG00000186523,75.0,0.0,36.77921445378861,49.65024072698979,0.2912188936294259,0.4955263241944502,3.994118798403363,8.747939030906204,0.2887095123218445,0.7009668021533308,0.0,0.375
ENSMUSG00000022621,ENSG00000079974,ENSG00000144134,50.0,0.0,52.48723100054082,51.715558894095686,0.5692790014731208,0.45985168642009805,2.920510610092379,2.814022806387253,0.2740536422881651,0.16968698000211402,0.0,0.0
ENSMUSG00000024878,ENSG00000147996,ENSG00000215126,25.0,0.0,26.06097119364545,27.6859252575216,0.3520018767657291,0.36931495021592387,5.6728409368772175,6.740080609522685,0.6173178520625245,0.47068719518003543,0.0625,0.375
ENSMUSG00000026425,ENSG00000266028,ENSG00000171943,100.0,25.0,68.39170008135271,89.26359349854808,0.38728841040030254,0.4081238617392453,4.031080405442985,6.497923084587281,0.1502401119640554,0.1629421177940199,0.0,0.0625
ENSMUSG00000028096,ENSG00000117262,ENSG00000188092,50.0,25.0,69.55127311481733,68.57809685867254,0.4825408721888147,0.49344361360000744,6.908947391947424,6.641933132185906,0.7251458343106809,0.7308603137384162,0.0,0.0
ENSMUSG00000029062,ENSG00000248333,ENSG00000008128,100.0,75.0,86.60558686335115,104.9250275692547,0.4284652106638905,0.5151550066523226,3.5025174308542817,4.646502639305553,0.4375992511656118,0.6690443216615186,0.0,0.0
ENSMUSG00000029617,ENSG00000122674,ENSG00000146574,75.0,0.0,115.82035084159976,121.7299390390699,0.3215638922466096,0.31375330961219455,6.434157443022854,7.591830391860738,0.28580862281393016,0.27057135702005675,0.0,0.0
ENSMUSG00000030468,ENSG00000142512,ENSG00000161640,50.0,0.0,7.198378923756597,7.466386839818165,0.8644835620860801,1.2711588697999459,3.7483952067342345,2.314109899652895,1.0621821978805053,1.333435530891042,0.3125,1.0
ENSMUSG00000030474,ENSG00000129450,ENSG00000105366,50.0,25.0,1.7905430281845252,4.172905506289641,0.3496275959621431,0.9676128862241123,1.1160427375826454,2.7487694653992816,0.41811413041510026,1.284714592862687,0.07142857142857142,0.5
ENSMUSG00000031957,ENSG00000168928,ENSG00000168925,100.0,0.0,41585.10244577361,52953.06743409708,0.0033925592550123314,0.0033813937648036253,8.866533786975936,10.235453220180538,4.87786677494384e-06,4.850965586555844e-06,0.0,0.125
ENSMUSG00000032518,ENSG00000168028,ENSG00000288920,100.0,0.0,924.580102599929,4.722425594534732,0.46973658373876287,0.48120749954364317,17.445543051182902,1.634333641773148,0.8963908906004465,1.0209584195237353,0.0625,0.0625
ENSMUSG00000033633,ENSG00000157335,ENSG00000157322,50.0,0.0,5.893709678014929,6.4389660565834514,1.3164954217676657,1.2928864786119585,3.041319947496343,3.029775422076477,1.071056235569974,1.072044114384583,1.0,1.0
ENSMUSG00000038467,ENSG00000101421,ENSG00000258469,100.0,0.0,153.10275483899022,525.7023904762202,0.2776265759290544,0.6138069027056393,1.6685872510601036,13.79857175112136,0.1389355495708373,0.766137046091677,0.0,0.0625
ENSMUSG00000039771,ENSG00000005075,ENSG00000285437,100.0,50.0,127.52826010848632,266.98935305868173,0.3165567667536144,0.4814192457806923,2.2156575456963097,15.2276889218741,0.6429580551843481,1.1998729097385425,0.0,0.4375
ENSMUSG00000041420,ENSG00000105419,ENSG00000188013,100.0,0.0,30.840276351119908,58.86269458248441,0.3430677834601222,0.5439157078497966,2.4103960596175895,7.036962841770905,0.10348827804388705,0.2384773209810509,0.0,0.2857142857142857
ENSMUSG00000041617,ENSG00000152076,ENSG00000163040,25.0,0.0,38.98697442022567,35.64758000666923,0.6872871143220742,0.7754508089401805,4.232353114682159,3.4744043098749153,0.2900092127698818,0.38781638922596673,0.2,0.14285714285714285
ENSMUSG00000045091,ENSG00000184945,ENSG00000185176,100.0,0.0,91.34405094260131,73.5458113646566,0.010916246301655469,0.011016269994047484,2.462371146962504,1.8806458691845296,5.923758571246829e-05,6.024545047689234e-05,0.25,0.25
ENSMUSG00000045237,ENSG00000197620,ENSG00000197021,75.0,0.0,33.498140012423924,19.313435167345503,0.3852438240092059,0.40086842245902377,4.003989784945111,2.0101652429546966,0.8172570134350394,0.9591479215287462,0.0,0.0
ENSMUSG00000053522,ENSG00000205076,ENSG00000178934,100.0,0.0,3002.660759501443,2883.5273796378733,0.019704234007553858,0.01872731033901903,6.773919807620226,4.993699874885368,0.00021032302223800148,0.00019956578956603632,0.4166666666666667,0.4166666666666667
ENSMUSG00000054850,ENSG00000178947,ENSG00000196972,50.0,25.0,17.227953441531316,18.808018549563183,0.1700305269684493,0.22432653269933728,3.043540772452785,3.8256011813306103,0.013330430960922235,0.02264351802698461,0.35714285714285715,0.3333333333333333
ENSMUSG00000055302,ENSG00000179010,ENSG00000178988,100.0,0.0,401.92190393381054,113.06994407564517,0.2555411622769399,0.2856209499604732,4.232998578995219,2.219066248828699,0.13325951030399397,0.17411987520673167,0.0,0.0
ENSMUSG00000055692,ENSG00000206140,ENSG00000278558,50.0,0.0,142.76156642364174,141.96411299008915,0.5021579805151127,0.5023027095638783,9.262329518488194,8.752108112153524,0.1278613779715756,0.13298827165076832,0.42857142857142855,0.42857142857142855
ENSMUSG00000056367,ENSG00000133627,ENSG00000106526,100.0,0.0,75.68262898358472,107.86700452677623,0.4009371269584548,1.3198192281873111,5.616633339529485,7.970093087499773,0.04609504365480266,1.4407249137708744,0.25,1.0
ENSMUSG00000063882,ENSG00000173660,ENSG00000233954,100.0,0.0,2338.585113459224,2932.1103079578925,0.6313495949555581,0.6148266589887761,5.936963403648771,19.276579305763388,1.1439466898726391,1.1162993727883543,0.0,0.0
ENSMUSG00000066551,ENSG00000189403,ENSG00000124097,100.0,0.0,93.46409157007605,87.69343443488347,0.7732948309726236,0.855401600950093,4.061258933999792,10.705742923308765,1.0418250067420445,0.8406020269212956,0.0,0.4375
ENSMUSG00000078812,ENSG00000132507,ENSG00000253626,100.0,0.0,757.314266657731,1227.871112038842,0.3105026230615578,0.3279834761871843,3.6689617045486944,20.470095798520124,0.3428870551246693,0.3779484392714476,0.0,0.4375
ENSMUSG00000079685,ENSG00000131015,ENSG00000131019,50.0,0.0,6.885659914123821,6.9279978976417,1.0805237052584151,1.1218718077923981,3.0489580707521857,2.948937052290038,0.9793755246696618,1.3091790944084971,0.625,1.0
ENSMUSG00000101389,ENSG00000214787,ENSG00000110079,100.0,25.0,6.586510356423976,6.662778597300152,0.4546493559481158,0.40231277486080036,2.443093913988384,3.061274118076541,0.19273313914429435,0.1258851204706981,0.16666666666666666,0.25
ENSMUSG00000102976,ENSG00000058673,ENSG00000214558,100.0,0.0,292.7042083541591,292.63467535820473,0.5558191599219442,0.4787966351481337,13.873759926306779,13.724365277448566,0.678586397534036,0.4709631063259496,0.3125,0.3125
